type,year,month,state,dead
all,2018,01,Alabama,282
all,2018,01,Alaska,39
all,2018,01,Arizona,283
all,2018,01,Arkansas,160
all,2018,01,California,1144
all,2018,01,Colorado,202
all,2018,01,Connecticut,98
all,2018,01,Delaware,27
all,2018,01,District of Columbia,24
all,2018,01,Florida,826
all,2018,01,Georgia,409
all,2018,01,Hawaii,42
all,2018,01,Idaho,45
all,2018,01,Illinois,476
all,2018,01,Indiana,285
all,2018,01,Iowa,79
all,2018,01,Kansas,101
all,2018,01,Kentucky,211
all,2018,01,Louisiana,256
all,2018,01,Maine,49
all,2018,01,Maryland,283
all,2018,01,Massachusetts,280
all,2018,01,Michigan,422
all,2018,01,Minnesota,131
all,2018,01,Mississippi,150
all,2018,01,Missouri,256
all,2018,01,Montana,42
all,2018,01,Nebraska,53
all,2018,01,Nevada,109
all,2018,01,New Hampshire,39
all,2018,01,New Jersey,319
all,2018,01,New Mexico,101
all,2018,01,New York,571
all,2018,01,North Carolina,406
all,2018,01,North Dakota,32
all,2018,01,Ohio,507
all,2018,01,Oklahoma,180
all,2018,01,Oregon,119
all,2018,01,Pennsylvania,496
all,2018,01,Rhode Island,24
all,2018,01,South Carolina,218
all,2018,01,South Dakota,36
all,2018,01,Tennessee,355
all,2018,01,Texas,1080
all,2018,01,Utah,91
all,2018,01,Vermont,20
all,2018,01,Virginia,285
all,2018,01,Washington,231
all,2018,01,West Virginia,107
all,2018,01,Wisconsin,184
all,2018,01,Wyoming,19
all,2018,02,Alabama,226
all,2018,02,Alaska,32
all,2018,02,Arizona,247
all,2018,02,Arkansas,99
all,2018,02,California,980
all,2018,02,Colorado,167
all,2018,02,Connecticut,101
all,2018,02,Delaware,46
all,2018,02,District of Columbia,32
all,2018,02,Florida,751
all,2018,02,Georgia,366
all,2018,02,Hawaii,29
all,2018,02,Idaho,39
all,2018,02,Illinois,411
all,2018,02,Indiana,254
all,2018,02,Iowa,84
all,2018,02,Kansas,77
all,2018,02,Kentucky,197
all,2018,02,Louisiana,240
all,2018,02,Maine,42
all,2018,02,Maryland,228
all,2018,02,Massachusetts,200
all,2018,02,Michigan,360
all,2018,02,Minnesota,128
all,2018,02,Mississippi,153
all,2018,02,Missouri,269
all,2018,02,Montana,32
all,2018,02,Nebraska,48
all,2018,02,Nevada,93
all,2018,02,New Hampshire,54
all,2018,02,New Jersey,246
all,2018,02,New Mexico,101
all,2018,02,New York,460
all,2018,02,North Carolina,383
all,2018,02,North Dakota,23
all,2018,02,Ohio,460
all,2018,02,Oklahoma,162
all,2018,02,Oregon,91
all,2018,02,Pennsylvania,408
all,2018,02,Rhode Island,20
all,2018,02,South Carolina,223
all,2018,02,South Dakota,23
all,2018,02,Tennessee,316
all,2018,02,Texas,900
all,2018,02,Utah,98
all,2018,02,Vermont,17
all,2018,02,Virginia,267
all,2018,02,Washington,208
all,2018,02,West Virginia,109
all,2018,02,Wisconsin,160
all,2018,02,Wyoming,16
all,2018,03,Alabama,256
all,2018,03,Alaska,39
all,2018,03,Arizona,268
all,2018,03,Arkansas,123
all,2018,03,California,1095
all,2018,03,Colorado,190
all,2018,03,Connecticut,115
all,2018,03,Delaware,47
all,2018,03,District of Columbia,36
all,2018,03,Florida,788
all,2018,03,Georgia,404
all,2018,03,Hawaii,37
all,2018,03,Idaho,58
all,2018,03,Illinois,391
all,2018,03,Indiana,271
all,2018,03,Iowa,83
all,2018,03,Kansas,105
all,2018,03,Kentucky,234
all,2018,03,Louisiana,244
all,2018,03,Maine,49
all,2018,03,Maryland,246
all,2018,03,Massachusetts,236
all,2018,03,Michigan,420
all,2018,03,Minnesota,120
all,2018,03,Mississippi,151
all,2018,03,Missouri,275
all,2018,03,Montana,30
all,2018,03,Nebraska,55
all,2018,03,Nevada,113
all,2018,03,New Hampshire,53
all,2018,03,New Jersey,311
all,2018,03,New Mexico,133
all,2018,03,New York,502
all,2018,03,North Carolina,380
all,2018,03,North Dakota,22
all,2018,03,Ohio,511
all,2018,03,Oklahoma,168
all,2018,03,Oregon,112
all,2018,03,Pennsylvania,511
all,2018,03,Rhode Island,34
all,2018,03,South Carolina,232
all,2018,03,South Dakota,32
all,2018,03,Tennessee,304
all,2018,03,Texas,884
all,2018,03,Utah,96
all,2018,03,Vermont,23
all,2018,03,Virginia,302
all,2018,03,Washington,225
all,2018,03,West Virginia,106
all,2018,03,Wisconsin,205
all,2018,03,Wyoming,18
all,2018,04,Alabama,241
all,2018,04,Alaska,35
all,2018,04,Arizona,250
all,2018,04,Arkansas,129
all,2018,04,California,949
all,2018,04,Colorado,189
all,2018,04,Connecticut,109
all,2018,04,Delaware,49
all,2018,04,District of Columbia,28
all,2018,04,Florida,784
all,2018,04,Georgia,388
all,2018,04,Hawaii,29
all,2018,04,Idaho,46
all,2018,04,Illinois,410
all,2018,04,Indiana,273
all,2018,04,Iowa,91
all,2018,04,Kansas,93
all,2018,04,Kentucky,208
all,2018,04,Louisiana,228
all,2018,04,Maine,40
all,2018,04,Maryland,256
all,2018,04,Massachusetts,238
all,2018,04,Michigan,386
all,2018,04,Minnesota,127
all,2018,04,Mississippi,139
all,2018,04,Missouri,295
all,2018,04,Montana,38
all,2018,04,Nebraska,54
all,2018,04,Nevada,114
all,2018,04,New Hampshire,42
all,2018,04,New Jersey,296
all,2018,04,New Mexico,115
all,2018,04,New York,498
all,2018,04,North Carolina,396
all,2018,04,North Dakota,25
all,2018,04,Ohio,479
all,2018,04,Oklahoma,151
all,2018,04,Oregon,117
all,2018,04,Pennsylvania,526
all,2018,04,Rhode Island,30
all,2018,04,South Carolina,223
all,2018,04,South Dakota,30
all,2018,04,Tennessee,287
all,2018,04,Texas,866
all,2018,04,Utah,129
all,2018,04,Vermont,26
all,2018,04,Virginia,251
all,2018,04,Washington,198
all,2018,04,West Virginia,85
all,2018,04,Wisconsin,148
all,2018,04,Wyoming,25
all,2018,05,Alabama,284
all,2018,05,Alaska,30
all,2018,05,Arizona,268
all,2018,05,Arkansas,156
all,2018,05,California,1013
all,2018,05,Colorado,204
all,2018,05,Connecticut,96
all,2018,05,Delaware,44
all,2018,05,District of Columbia,36
all,2018,05,Florida,742
all,2018,05,Georgia,428
all,2018,05,Hawaii,34
all,2018,05,Idaho,57
all,2018,05,Illinois,407
all,2018,05,Indiana,262
all,2018,05,Iowa,63
all,2018,05,Kansas,88
all,2018,05,Kentucky,228
all,2018,05,Louisiana,278
all,2018,05,Maine,43
all,2018,05,Maryland,241
all,2018,05,Massachusetts,232
all,2018,05,Michigan,367
all,2018,05,Minnesota,129
all,2018,05,Mississippi,147
all,2018,05,Missouri,254
all,2018,05,Montana,40
all,2018,05,Nebraska,52
all,2018,05,Nevada,114
all,2018,05,New Hampshire,46
all,2018,05,New Jersey,295
all,2018,05,New Mexico,126
all,2018,05,New York,555
all,2018,05,North Carolina,413
all,2018,05,North Dakota,28
all,2018,05,Ohio,541
all,2018,05,Oklahoma,181
all,2018,05,Oregon,100
all,2018,05,Pennsylvania,567
all,2018,05,Rhode Island,37
all,2018,05,South Carolina,240
all,2018,05,South Dakota,36
all,2018,05,Tennessee,314
all,2018,05,Texas,940
all,2018,05,Utah,95
all,2018,05,Vermont,26
all,2018,05,Virginia,253
all,2018,05,Washington,218
all,2018,05,West Virginia,108
all,2018,05,Wisconsin,188
all,2018,05,Wyoming,20
all,2018,06,Alabama,259
all,2018,06,Alaska,32
all,2018,06,Arizona,267
all,2018,06,Arkansas,149
all,2018,06,California,1111
all,2018,06,Colorado,211
all,2018,06,Connecticut,115
all,2018,06,Delaware,51
all,2018,06,District of Columbia,24
all,2018,06,Florida,738
all,2018,06,Georgia,409
all,2018,06,Hawaii,40
all,2018,06,Idaho,51
all,2018,06,Illinois,413
all,2018,06,Indiana,267
all,2018,06,Iowa,92
all,2018,06,Kansas,113
all,2018,06,Kentucky,215
all,2018,06,Louisiana,210
all,2018,06,Maine,55
all,2018,06,Maryland,267
all,2018,06,Massachusetts,204
all,2018,06,Michigan,382
all,2018,06,Minnesota,127
all,2018,06,Mississippi,153
all,2018,06,Missouri,312
all,2018,06,Montana,37
all,2018,06,Nebraska,57
all,2018,06,Nevada,106
all,2018,06,New Hampshire,46
all,2018,06,New Jersey,323
all,2018,06,New Mexico,116
all,2018,06,New York,579
all,2018,06,North Carolina,417
all,2018,06,North Dakota,39
all,2018,06,Ohio,511
all,2018,06,Oklahoma,199
all,2018,06,Oregon,132
all,2018,06,Pennsylvania,525
all,2018,06,Rhode Island,27
all,2018,06,South Carolina,237
all,2018,06,South Dakota,27
all,2018,06,Tennessee,295
all,2018,06,Texas,980
all,2018,06,Utah,121
all,2018,06,Vermont,19
all,2018,06,Virginia,256
all,2018,06,Washington,218
all,2018,06,West Virginia,106
all,2018,06,Wisconsin,172
all,2018,06,Wyoming,19
all,2018,07,Alabama,257
all,2018,07,Alaska,31
all,2018,07,Arizona,266
all,2018,07,Arkansas,118
all,2018,07,California,1086
all,2018,07,Colorado,226
all,2018,07,Connecticut,129
all,2018,07,Delaware,42
all,2018,07,District of Columbia,34
all,2018,07,Florida,793
all,2018,07,Georgia,417
all,2018,07,Hawaii,40
all,2018,07,Idaho,63
all,2018,07,Illinois,480
all,2018,07,Indiana,281
all,2018,07,Iowa,79
all,2018,07,Kansas,93
all,2018,07,Kentucky,250
all,2018,07,Louisiana,237
all,2018,07,Maine,61
all,2018,07,Maryland,260
all,2018,07,Massachusetts,270
all,2018,07,Michigan,417
all,2018,07,Minnesota,149
all,2018,07,Mississippi,151
all,2018,07,Missouri,278
all,2018,07,Montana,42
all,2018,07,Nebraska,47
all,2018,07,Nevada,130
all,2018,07,New Hampshire,55
all,2018,07,New Jersey,293
all,2018,07,New Mexico,114
all,2018,07,New York,555
all,2018,07,North Carolina,393
all,2018,07,North Dakota,33
all,2018,07,Ohio,578
all,2018,07,Oklahoma,159
all,2018,07,Oregon,121
all,2018,07,Pennsylvania,526
all,2018,07,Rhode Island,36
all,2018,07,South Carolina,210
all,2018,07,South Dakota,32
all,2018,07,Tennessee,363
all,2018,07,Texas,969
all,2018,07,Utah,115
all,2018,07,Vermont,27
all,2018,07,Virginia,252
all,2018,07,Washington,227
all,2018,07,West Virginia,108
all,2018,07,Wisconsin,187
all,2018,07,Wyoming,23
all,2018,08,Alabama,233
all,2018,08,Alaska,33
all,2018,08,Arizona,302
all,2018,08,Arkansas,139
all,2018,08,California,1155
all,2018,08,Colorado,210
all,2018,08,Connecticut,91
all,2018,08,Delaware,51
all,2018,08,District of Columbia,28
all,2018,08,Florida,741
all,2018,08,Georgia,378
all,2018,08,Hawaii,49
all,2018,08,Idaho,53
all,2018,08,Illinois,421
all,2018,08,Indiana,283
all,2018,08,Iowa,95
all,2018,08,Kansas,93
all,2018,08,Kentucky,247
all,2018,08,Louisiana,241
all,2018,08,Maine,44
all,2018,08,Maryland,237
all,2018,08,Massachusetts,244
all,2018,08,Michigan,380
all,2018,08,Minnesota,138
all,2018,08,Mississippi,164
all,2018,08,Missouri,297
all,2018,08,Montana,34
all,2018,08,Nebraska,55
all,2018,08,Nevada,130
all,2018,08,New Hampshire,49
all,2018,08,New Jersey,345
all,2018,08,New Mexico,128
all,2018,08,New York,539
all,2018,08,North Carolina,381
all,2018,08,North Dakota,25
all,2018,08,Ohio,543
all,2018,08,Oklahoma,172
all,2018,08,Oregon,131
all,2018,08,Pennsylvania,529
all,2018,08,Rhode Island,37
all,2018,08,South Carolina,245
all,2018,08,South Dakota,33
all,2018,08,Tennessee,345
all,2018,08,Texas,905
all,2018,08,Utah,124
all,2018,08,Vermont,16
all,2018,08,Virginia,288
all,2018,08,Washington,226
all,2018,08,West Virginia,116
all,2018,08,Wisconsin,190
all,2018,08,Wyoming,19
all,2018,09,Alabama,212
all,2018,09,Alaska,26
all,2018,09,Arizona,237
all,2018,09,Arkansas,144
all,2018,09,California,1045
all,2018,09,Colorado,212
all,2018,09,Connecticut,110
all,2018,09,Delaware,39
all,2018,09,District of Columbia,38
all,2018,09,Florida,747
all,2018,09,Georgia,389
all,2018,09,Hawaii,39
all,2018,09,Idaho,54
all,2018,09,Illinois,470
all,2018,09,Indiana,280
all,2018,09,Iowa,83
all,2018,09,Kansas,99
all,2018,09,Kentucky,218
all,2018,09,Louisiana,228
all,2018,09,Maine,43
all,2018,09,Maryland,241
all,2018,09,Massachusetts,235
all,2018,09,Michigan,371
all,2018,09,Minnesota,165
all,2018,09,Mississippi,152
all,2018,09,Missouri,259
all,2018,09,Montana,24
all,2018,09,Nebraska,54
all,2018,09,Nevada,138
all,2018,09,New Hampshire,44
all,2018,09,New Jersey,307
all,2018,09,New Mexico,112
all,2018,09,New York,521
all,2018,09,North Carolina,426
all,2018,09,North Dakota,28
all,2018,09,Ohio,517
all,2018,09,Oklahoma,172
all,2018,09,Oregon,112
all,2018,09,Pennsylvania,535
all,2018,09,Rhode Island,25
all,2018,09,South Carolina,233
all,2018,09,South Dakota,33
all,2018,09,Tennessee,359
all,2018,09,Texas,887
all,2018,09,Utah,95
all,2018,09,Vermont,26
all,2018,09,Virginia,283
all,2018,09,Washington,205
all,2018,09,West Virginia,111
all,2018,09,Wisconsin,205
all,2018,09,Wyoming,25
all,2018,10,Alabama,214
all,2018,10,Alaska,24
all,2018,10,Arizona,251
all,2018,10,Arkansas,103
all,2018,10,California,1065
all,2018,10,Colorado,188
all,2018,10,Connecticut,112
all,2018,10,Delaware,50
all,2018,10,District of Columbia,32
all,2018,10,Florida,774
all,2018,10,Georgia,399
all,2018,10,Hawaii,33
all,2018,10,Idaho,49
all,2018,10,Illinois,446
all,2018,10,Indiana,292
all,2018,10,Iowa,90
all,2018,10,Kansas,97
all,2018,10,Kentucky,225
all,2018,10,Louisiana,218
all,2018,10,Maine,35
all,2018,10,Maryland,229
all,2018,10,Massachusetts,197
all,2018,10,Michigan,383
all,2018,10,Minnesota,137
all,2018,10,Mississippi,152
all,2018,10,Missouri,284
all,2018,10,Montana,42
all,2018,10,Nebraska,69
all,2018,10,Nevada,95
all,2018,10,New Hampshire,44
all,2018,10,New Jersey,320
all,2018,10,New Mexico,127
all,2018,10,New York,548
all,2018,10,North Carolina,417
all,2018,10,North Dakota,31
all,2018,10,Ohio,532
all,2018,10,Oklahoma,168
all,2018,10,Oregon,130
all,2018,10,Pennsylvania,528
all,2018,10,Rhode Island,33
all,2018,10,South Carolina,234
all,2018,10,South Dakota,28
all,2018,10,Tennessee,324
all,2018,10,Texas,922
all,2018,10,Utah,109
all,2018,10,Vermont,32
all,2018,10,Virginia,276
all,2018,10,Washington,213
all,2018,10,West Virginia,112
all,2018,10,Wisconsin,149
all,2018,10,Wyoming,31
all,2018,11,Alabama,236
all,2018,11,Alaska,30
all,2018,11,Arizona,262
all,2018,11,Arkansas,141
all,2018,11,California,1044
all,2018,11,Colorado,167
all,2018,11,Connecticut,119
all,2018,11,Delaware,46
all,2018,11,District of Columbia,18
all,2018,11,Florida,779
all,2018,11,Georgia,389
all,2018,11,Hawaii,30
all,2018,11,Idaho,48
all,2018,11,Illinois,377
all,2018,11,Indiana,261
all,2018,11,Iowa,83
all,2018,11,Kansas,99
all,2018,11,Kentucky,206
all,2018,11,Louisiana,219
all,2018,11,Maine,48
all,2018,11,Maryland,229
all,2018,11,Massachusetts,205
all,2018,11,Michigan,382
all,2018,11,Minnesota,152
all,2018,11,Mississippi,153
all,2018,11,Missouri,266
all,2018,11,Montana,31
all,2018,11,Nebraska,48
all,2018,11,Nevada,96
all,2018,11,New Hampshire,56
all,2018,11,New Jersey,295
all,2018,11,New Mexico,110
all,2018,11,New York,491
all,2018,11,North Carolina,422
all,2018,11,North Dakota,23
all,2018,11,Ohio,496
all,2018,11,Oklahoma,165
all,2018,11,Oregon,124
all,2018,11,Pennsylvania,479
all,2018,11,Rhode Island,29
all,2018,11,South Carolina,224
all,2018,11,South Dakota,19
all,2018,11,Tennessee,329
all,2018,11,Texas,922
all,2018,11,Utah,99
all,2018,11,Vermont,18
all,2018,11,Virginia,247
all,2018,11,Washington,195
all,2018,11,West Virginia,100
all,2018,11,Wisconsin,180
all,2018,11,Wyoming,22
all,2018,12,Alabama,268
all,2018,12,Alaska,48
all,2018,12,Arizona,269
all,2018,12,Arkansas,142
all,2018,12,California,1085
all,2018,12,Colorado,205
all,2018,12,Connecticut,117
all,2018,12,Delaware,34
all,2018,12,District of Columbia,24
all,2018,12,Florida,815
all,2018,12,Georgia,429
all,2018,12,Hawaii,42
all,2018,12,Idaho,49
all,2018,12,Illinois,432
all,2018,12,Indiana,276
all,2018,12,Iowa,77
all,2018,12,Kansas,102
all,2018,12,Kentucky,241
all,2018,12,Louisiana,234
all,2018,12,Maine,38
all,2018,12,Maryland,228
all,2018,12,Massachusetts,207
all,2018,12,Michigan,369
all,2018,12,Minnesota,132
all,2018,12,Mississippi,145
all,2018,12,Missouri,265
all,2018,12,Montana,49
all,2018,12,Nebraska,50
all,2018,12,Nevada,127
all,2018,12,New Hampshire,54
all,2018,12,New Jersey,281
all,2018,12,New Mexico,102
all,2018,12,New York,501
all,2018,12,North Carolina,400
all,2018,12,North Dakota,19
all,2018,12,Ohio,511
all,2018,12,Oklahoma,161
all,2018,12,Oregon,117
all,2018,12,Pennsylvania,478
all,2018,12,Rhode Island,31
all,2018,12,South Carolina,230
all,2018,12,South Dakota,28
all,2018,12,Tennessee,358
all,2018,12,Texas,894
all,2018,12,Utah,110
all,2018,12,Vermont,23
all,2018,12,Virginia,277
all,2018,12,Washington,220
all,2018,12,West Virginia,113
all,2018,12,Wisconsin,172
all,2018,12,Wyoming,18
all,2019,01,Alabama,238
all,2019,01,Alaska,46
all,2019,01,Arizona,291
all,2019,01,Arkansas,121
all,2019,01,California,1135
all,2019,01,Colorado,200
all,2019,01,Connecticut,123
all,2019,01,Delaware,52
all,2019,01,District of Columbia,22
all,2019,01,Florida,778
all,2019,01,Georgia,392
all,2019,01,Hawaii,51
all,2019,01,Idaho,44
all,2019,01,Illinois,423
all,2019,01,Indiana,240
all,2019,01,Iowa,96
all,2019,01,Kansas,79
all,2019,01,Kentucky,238
all,2019,01,Louisiana,213
all,2019,01,Maine,50
all,2019,01,Maryland,248
all,2019,01,Massachusetts,198
all,2019,01,Michigan,352
all,2019,01,Minnesota,128
all,2019,01,Mississippi,154
all,2019,01,Missouri,283
all,2019,01,Montana,46
all,2019,01,Nebraska,54
all,2019,01,Nevada,119
all,2019,01,New Hampshire,51
all,2019,01,New Jersey,309
all,2019,01,New Mexico,127
all,2019,01,New York,538
all,2019,01,North Carolina,398
all,2019,01,North Dakota,27
all,2019,01,Ohio,501
all,2019,01,Oklahoma,174
all,2019,01,Oregon,106
all,2019,01,Pennsylvania,473
all,2019,01,Rhode Island,31
all,2019,01,South Carolina,246
all,2019,01,South Dakota,26
all,2019,01,Tennessee,331
all,2019,01,Texas,896
all,2019,01,Utah,120
all,2019,01,Vermont,24
all,2019,01,Virginia,247
all,2019,01,Washington,225
all,2019,01,West Virginia,101
all,2019,01,Wisconsin,178
all,2019,01,Wyoming,31
all,2019,02,Alabama,238
all,2019,02,Alaska,48
all,2019,02,Arizona,263
all,2019,02,Arkansas,108
all,2019,02,California,1039
all,2019,02,Colorado,185
all,2019,02,Connecticut,95
all,2019,02,Delaware,32
all,2019,02,District of Columbia,28
all,2019,02,Florida,717
all,2019,02,Georgia,333
all,2019,02,Hawaii,51
all,2019,02,Idaho,56
all,2019,02,Illinois,361
all,2019,02,Indiana,260
all,2019,02,Iowa,69
all,2019,02,Kansas,86
all,2019,02,Kentucky,194
all,2019,02,Louisiana,205
all,2019,02,Maine,49
all,2019,02,Maryland,215
all,2019,02,Massachusetts,213
all,2019,02,Michigan,330
all,2019,02,Minnesota,131
all,2019,02,Mississippi,137
all,2019,02,Missouri,227
all,2019,02,Montana,39
all,2019,02,Nebraska,63
all,2019,02,Nevada,93
all,2019,02,New Hampshire,49
all,2019,02,New Jersey,256
all,2019,02,New Mexico,98
all,2019,02,New York,490
all,2019,02,North Carolina,400
all,2019,02,North Dakota,13
all,2019,02,Ohio,462
all,2019,02,Oklahoma,160
all,2019,02,Oregon,106
all,2019,02,Pennsylvania,438
all,2019,02,Rhode Island,30
all,2019,02,South Carolina,190
all,2019,02,South Dakota,32
all,2019,02,Tennessee,282
all,2019,02,Texas,842
all,2019,02,Utah,90
all,2019,02,Vermont,19
all,2019,02,Virginia,261
all,2019,02,Washington,214
all,2019,02,West Virginia,96
all,2019,02,Wisconsin,135
all,2019,02,Wyoming,18
all,2019,03,Alabama,250
all,2019,03,Alaska,35
all,2019,03,Arizona,282
all,2019,03,Arkansas,152
all,2019,03,California,1083
all,2019,03,Colorado,183
all,2019,03,Connecticut,116
all,2019,03,Delaware,35
all,2019,03,District of Columbia,28
all,2019,03,Florida,846
all,2019,03,Georgia,412
all,2019,03,Hawaii,37
all,2019,03,Idaho,53
all,2019,03,Illinois,435
all,2019,03,Indiana,290
all,2019,03,Iowa,93
all,2019,03,Kansas,97
all,2019,03,Kentucky,233
all,2019,03,Louisiana,216
all,2019,03,Maine,59
all,2019,03,Maryland,283
all,2019,03,Massachusetts,223
all,2019,03,Michigan,410
all,2019,03,Minnesota,143
all,2019,03,Mississippi,163
all,2019,03,Missouri,268
all,2019,03,Montana,42
all,2019,03,Nebraska,56
all,2019,03,Nevada,94
all,2019,03,New Hampshire,58
all,2019,03,New Jersey,282
all,2019,03,New Mexico,116
all,2019,03,New York,541
all,2019,03,North Carolina,433
all,2019,03,North Dakota,29
all,2019,03,Ohio,536
all,2019,03,Oklahoma,183
all,2019,03,Oregon,142
all,2019,03,Pennsylvania,481
all,2019,03,Rhode Island,43
all,2019,03,South Carolina,233
all,2019,03,South Dakota,26
all,2019,03,Tennessee,332
all,2019,03,Texas,992
all,2019,03,Utah,131
all,2019,03,Vermont,18
all,2019,03,Virginia,282
all,2019,03,Washington,205
all,2019,03,West Virginia,120
all,2019,03,Wisconsin,184
all,2019,03,Wyoming,25
all,2019,04,Alabama,241
all,2019,04,Alaska,39
all,2019,04,Arizona,305
all,2019,04,Arkansas,134
all,2019,04,California,1077
all,2019,04,Colorado,212
all,2019,04,Connecticut,107
all,2019,04,Delaware,33
all,2019,04,District of Columbia,28
all,2019,04,Florida,795
all,2019,04,Georgia,400
all,2019,04,Hawaii,40
all,2019,04,Idaho,43
all,2019,04,Illinois,380
all,2019,04,Indiana,288
all,2019,04,Iowa,85
all,2019,04,Kansas,111
all,2019,04,Kentucky,228
all,2019,04,Louisiana,192
all,2019,04,Maine,61
all,2019,04,Maryland,254
all,2019,04,Massachusetts,214
all,2019,04,Michigan,346
all,2019,04,Minnesota,148
all,2019,04,Mississippi,166
all,2019,04,Missouri,237
all,2019,04,Montana,46
all,2019,04,Nebraska,49
all,2019,04,Nevada,108
all,2019,04,New Hampshire,53
all,2019,04,New Jersey,247
all,2019,04,New Mexico,136
all,2019,04,New York,523
all,2019,04,North Carolina,396
all,2019,04,North Dakota,36
all,2019,04,Ohio,493
all,2019,04,Oklahoma,161
all,2019,04,Oregon,124
all,2019,04,Pennsylvania,512
all,2019,04,Rhode Island,29
all,2019,04,South Carolina,203
all,2019,04,South Dakota,25
all,2019,04,Tennessee,368
all,2019,04,Texas,956
all,2019,04,Utah,102
all,2019,04,Vermont,16
all,2019,04,Virginia,261
all,2019,04,Washington,199
all,2019,04,West Virginia,105
all,2019,04,Wisconsin,179
all,2019,04,Wyoming,23
all,2019,05,Alabama,279
all,2019,05,Alaska,45
all,2019,05,Arizona,314
all,2019,05,Arkansas,143
all,2019,05,California,1092
all,2019,05,Colorado,214
all,2019,05,Connecticut,116
all,2019,05,Delaware,58
all,2019,05,District of Columbia,29
all,2019,05,Florida,761
all,2019,05,Georgia,451
all,2019,05,Hawaii,37
all,2019,05,Idaho,46
all,2019,05,Illinois,450
all,2019,05,Indiana,302
all,2019,05,Iowa,77
all,2019,05,Kansas,93
all,2019,05,Kentucky,236
all,2019,05,Louisiana,220
all,2019,05,Maine,57
all,2019,05,Maryland,221
all,2019,05,Massachusetts,207
all,2019,05,Michigan,383
all,2019,05,Minnesota,152
all,2019,05,Mississippi,158
all,2019,05,Missouri,253
all,2019,05,Montana,34
all,2019,05,Nebraska,52
all,2019,05,Nevada,96
all,2019,05,New Hampshire,46
all,2019,05,New Jersey,290
all,2019,05,New Mexico,125
all,2019,05,New York,527
all,2019,05,North Carolina,395
all,2019,05,North Dakota,35
all,2019,05,Ohio,510
all,2019,05,Oklahoma,208
all,2019,05,Oregon,141
all,2019,05,Pennsylvania,500
all,2019,05,Rhode Island,39
all,2019,05,South Carolina,235
all,2019,05,South Dakota,33
all,2019,05,Tennessee,331
all,2019,05,Texas,969
all,2019,05,Utah,106
all,2019,05,Vermont,22
all,2019,05,Virginia,294
all,2019,05,Washington,201
all,2019,05,West Virginia,98
all,2019,05,Wisconsin,191
all,2019,05,Wyoming,23
all,2019,06,Alabama,234
all,2019,06,Alaska,43
all,2019,06,Arizona,273
all,2019,06,Arkansas,121
all,2019,06,California,1126
all,2019,06,Colorado,222
all,2019,06,Connecticut,98
all,2019,06,Delaware,44
all,2019,06,District of Columbia,30
all,2019,06,Florida,812
all,2019,06,Georgia,388
all,2019,06,Hawaii,41
all,2019,06,Idaho,51
all,2019,06,Illinois,438
all,2019,06,Indiana,269
all,2019,06,Iowa,82
all,2019,06,Kansas,102
all,2019,06,Kentucky,209
all,2019,06,Louisiana,242
all,2019,06,Maine,43
all,2019,06,Maryland,269
all,2019,06,Massachusetts,220
all,2019,06,Michigan,402
all,2019,06,Minnesota,162
all,2019,06,Mississippi,158
all,2019,06,Missouri,259
all,2019,06,Montana,45
all,2019,06,Nebraska,59
all,2019,06,Nevada,104
all,2019,06,New Hampshire,43
all,2019,06,New Jersey,303
all,2019,06,New Mexico,141
all,2019,06,New York,544
all,2019,06,North Carolina,421
all,2019,06,North Dakota,39
all,2019,06,Ohio,541
all,2019,06,Oklahoma,166
all,2019,06,Oregon,135
all,2019,06,Pennsylvania,488
all,2019,06,Rhode Island,30
all,2019,06,South Carolina,195
all,2019,06,South Dakota,48
all,2019,06,Tennessee,343
all,2019,06,Texas,913
all,2019,06,Utah,96
all,2019,06,Vermont,29
all,2019,06,Virginia,260
all,2019,06,Washington,214
all,2019,06,West Virginia,111
all,2019,06,Wisconsin,167
all,2019,06,Wyoming,15
all,2019,07,Alabama,244
all,2019,07,Alaska,30
all,2019,07,Arizona,306
all,2019,07,Arkansas,153
all,2019,07,California,1174
all,2019,07,Colorado,214
all,2019,07,Connecticut,129
all,2019,07,Delaware,55
all,2019,07,District of Columbia,28
all,2019,07,Florida,814
all,2019,07,Georgia,448
all,2019,07,Hawaii,37
all,2019,07,Idaho,42
all,2019,07,Illinois,448
all,2019,07,Indiana,290
all,2019,07,Iowa,106
all,2019,07,Kansas,110
all,2019,07,Kentucky,211
all,2019,07,Louisiana,220
all,2019,07,Maine,46
all,2019,07,Maryland,272
all,2019,07,Massachusetts,232
all,2019,07,Michigan,391
all,2019,07,Minnesota,154
all,2019,07,Mississippi,159
all,2019,07,Missouri,281
all,2019,07,Montana,44
all,2019,07,Nebraska,50
all,2019,07,Nevada,118
all,2019,07,New Hampshire,44
all,2019,07,New Jersey,287
all,2019,07,New Mexico,133
all,2019,07,New York,583
all,2019,07,North Carolina,409
all,2019,07,North Dakota,27
all,2019,07,Ohio,579
all,2019,07,Oklahoma,167
all,2019,07,Oregon,123
all,2019,07,Pennsylvania,522
all,2019,07,Rhode Island,40
all,2019,07,South Carolina,261
all,2019,07,South Dakota,28
all,2019,07,Tennessee,325
all,2019,07,Texas,969
all,2019,07,Utah,120
all,2019,07,Vermont,22
all,2019,07,Virginia,253
all,2019,07,Washington,239
all,2019,07,West Virginia,125
all,2019,07,Wisconsin,188
all,2019,07,Wyoming,22
